,sql-server,sql,database,ado.net,mysql,sql-server-2008,entity-framework-4,entity-framework,nhibernate,oracle,xml,xml-serialization,excel,winforms,datagridview,gridview,image,datetime,azure,powershell,c#,c#-4.0,design-patterns,oop,architecture,dependency-injection,generics,dll,com,assemblies,msbuild,deployment,interop,php,exception,exception-handling,wpf,xaml,data-binding,events,mvvm,user-interface,user-controls,java,vb.net,c++,clr,c++-cli,garbage-collection,linq,linq-to-sql,lambda,security,encryption,mono,.net-2.0,.net-4.0,.net-3.5,visual-studio,visual-studio-2010,visual-studio-2008,visual-studio-2012,regex,string,multithreading,asynchronous,task-parallel-library,async-await,silverlight,windows-phone-7,collections,arrays,list,json,javascript,html,jquery,ajax,windows,windows-services,winapi,sockets,compact-framework,wcf,unit-testing,reflection,debugging,performance,f#,iis,asp.net-mvc,asp.net-mvc-3,asp.net-mvc-4,asp.net-web-api,asp.net,soap,rest,serialization,web-services,configuration
datetime,0.9913191,0.9926153,0.99788254,0.9992013,0.9929859,0.9947411,0.99950755,0.9982271,0.998918,0.9967246,0.9989595,0.9993716,0.99767166,0.99836427,0.9986753,0.9991135,0.99986494,0.0,0.9992212,0.998934,0.9934241,0.9979157,0.99983263,0.9998096,0.9999387,0.999969,0.9998856,0.9999199,0.99984163,0.99996054,1.0,0.9998588,0.9999632,0.99528897,0.9993924,0.9997842,0.9990433,0.9996265,0.9992009,0.9996921,0.9997588,0.9997743,0.9998705,0.99789184,0.9960458,0.9993979,0.99992245,0.99970883,1.0,0.9966048,0.99825984,0.99950135,0.99996364,0.99994904,0.9996998,0.999258,0.9990392,0.9990598,0.99964315,0.99927473,0.9996614,0.99955636,0.998926,0.99561125,0.9998659,0.9999742,0.99992466,1.0,0.99922496,0.999122,0.9995982,0.99934196,0.99899197,0.99775785,0.99818164,0.99974334,0.99923885,0.99976546,0.9991645,0.9999309,0.99963534,0.99998176,0.9998464,0.9990271,0.9994807,0.99986404,0.9997578,0.99921477,0.9997391,0.99962497,0.99789715,0.9981373,0.9983201,0.99916476,0.9969844,0.9994574,0.9997406,0.99800706,0.9993392,0.9999389
azure,0.9961872,0.9981547,0.99842304,0.9993468,0.9996619,0.9993265,0.99939466,0.99589574,0.99938434,0.99990267,0.9997436,0.9999566,0.9996514,0.9997353,1.0,0.9999727,0.9996899,0.9992212,0.0,0.9906484,0.9960993,0.9985882,0.99965596,0.9999794,0.99839,0.999752,0.99984884,0.9990713,0.99934614,0.9997182,0.996579,0.98995817,0.99982715,0.9995268,0.9992575,0.9994717,0.99967605,0.99963653,1.0,0.9999035,0.9998498,0.99993896,0.9999255,0.9996924,0.99948007,0.99992734,0.99990815,0.9999574,0.9999606,0.9988982,0.99962085,0.9999288,0.9977189,0.99909,0.9994604,0.9999074,0.9993384,0.99991906,0.9968635,0.9968444,0.99976724,0.99461263,0.9999693,0.9999893,0.9992504,0.9984421,0.99897766,0.9989235,0.997902,0.9979342,0.9999676,0.99998605,0.9998975,0.9994364,0.99971074,0.999934,0.99987787,0.999713,0.9947524,0.9991165,0.9999296,0.99919355,0.9999546,0.98929405,0.9996393,0.99972516,0.9988566,0.9982083,0.9992112,0.9900967,0.99188864,0.9956873,0.9917505,0.99338114,0.994982,0.99974054,0.99557716,0.9993744,0.99782294,0.9982197
powershell,0.9977023,0.9990967,0.9997415,0.9998314,0.999772,0.9986817,0.99996674,0.99979395,1.0,0.999563,0.99652743,0.99996245,0.9968576,0.99891275,0.99964267,0.99992543,0.99976546,0.998934,0.9906484,0.0,0.99829847,0.99953824,0.9999275,0.99982727,0.99993795,0.9999372,0.9998152,0.9989996,0.9968124,0.99967873,0.99662286,0.9982537,0.99985045,0.9998874,0.9988179,0.9990309,0.9995037,0.99973655,0.99991643,0.99893373,0.9999729,0.99867123,0.99996716,0.9998535,0.9992954,0.999912,0.9994875,0.99988914,0.999931,0.99981165,1.0,0.99987376,0.99886274,0.999536,0.99989855,1.0,0.99944836,0.9997175,0.99817014,0.99874824,0.999763,0.9985838,0.99612117,0.99726003,0.99926955,0.99932116,0.99996173,0.9999229,0.9997997,0.9999767,0.99933165,0.9970544,0.9995492,0.9994135,0.9999259,0.99966794,0.99998194,1.0,0.9863113,0.99817425,0.99954545,0.99976134,1.0,0.9993052,0.9996823,0.99931204,0.999328,0.99916935,0.99980164,0.9943362,0.99978083,0.99981934,0.9998328,0.99997085,0.99949235,0.9993992,0.9992341,0.9997164,0.99903256,0.9994426
c#,0.9832029,0.98183864,0.99276155,0.9951241,0.9948124,0.99562,0.9967951,0.9721953,0.99273354,0.9971947,0.98089147,0.9969552,0.992119,0.9440971,0.9901402,0.99095386,0.9944901,0.9934241,0.9960993,0.99829847,0.0,0.9912651,0.99551123,0.99530613,0.99822617,0.99686503,0.9888718,0.9945783,0.9967345,0.99879855,0.9986843,0.9988064,0.9970054,0.9987286,0.99502355,0.99720937,0.9370607,0.9782821,0.99302083,0.99366486,0.991484,0.9971519,0.9954538,0.9966868,0.98896915,0.9939777,0.99844205,0.9988985,0.99835813,0.95890504,0.99194664,0.99461395,0.9970776,0.997137,0.9956907,0.9982728,0.9943931,0.99590135,0.98585063,0.98404485,0.99556136,0.9931324,0.9885444,0.9896472,0.9830233,0.99457186,0.9966225,0.99655724,0.9891006,0.9902571,0.9965666,0.99242055,0.9917589,0.991053,0.9915555,0.99424684,0.99298817,0.99502313,0.98958826,0.9962692,0.99681765,0.99532276,0.9980184,0.9800522,0.9930568,0.9917593,0.9971809,0.9942998,0.9992149,0.995453,0.96118164,0.98871946,0.98693067,0.9946129,0.88769644,0.9976769,0.9971157,0.9933186,0.98949474,0.9987893
c#-4.0,0.9976244,0.9988091,0.9991808,0.99666643,0.999648,0.99472386,0.9877254,0.99079734,0.99691784,0.9993172,0.99718624,0.9974923,0.99800074,0.9895038,0.9961875,0.9963514,0.9993139,0.9979157,0.9985882,0.99953824,0.9912651,0.0,0.99792635,0.99857384,0.9987971,0.9981029,0.9939213,0.9984151,0.99823177,0.999514,0.9992064,0.9997861,0.99873245,0.99997413,0.9991855,0.99882233,0.99143374,0.99647003,0.99764585,0.9987602,0.99675596,0.99956405,0.9975827,0.99994344,0.9984495,0.99984443,0.999004,0.9994351,0.99932605,0.985566,0.9932288,0.99405026,0.99929225,0.9989865,0.99827576,0.9998256,0.98669976,0.9992704,0.9977617,0.9876982,0.99946785,0.99672765,0.99853826,0.99869466,0.99596256,0.99774885,0.9915491,0.998773,0.9975821,0.99584866,0.9978507,0.9995026,0.9980757,0.99860865,0.99955153,0.9996856,0.99949265,0.9992446,0.9986234,0.9964855,0.99922585,0.9992527,0.9999144,0.99211574,0.99749696,0.9956704,0.99938095,0.9989039,0.9996784,0.99884856,0.99324584,0.98557067,0.988964,0.9965579,0.98757195,0.9992503,0.9987706,0.99821764,0.9972875,0.9996337
design-patterns,0.9995925,0.9994855,0.99763393,0.9991353,0.9996983,0.9998131,0.9988001,0.9970587,0.9980346,0.9998739,0.99947697,0.99959916,0.9998746,0.9981833,1.0,0.999889,0.9997787,0.99983263,0.99965596,0.9999275,0.99551123,0.99792635,0.0,0.94520247,0.96687543,0.98784685,0.99579024,0.9997258,0.9998887,0.99990344,0.9999225,0.9997727,0.999867,0.9984808,0.9987187,0.9982001,0.9981809,0.9997753,0.9992426,0.9975968,0.9921124,0.99509573,0.99958116,0.99557346,0.9988025,0.9962063,1.0,0.9998688,0.99971765,0.9992283,0.99809825,0.9994177,0.9991658,0.9998556,0.9998818,0.99957156,0.9992864,0.99921215,0.99958223,0.9998889,0.9998816,0.9998692,0.99983025,0.99919873,0.9973891,0.99741554,0.9996353,0.99981594,0.99908113,0.9997416,0.99854326,0.99972004,0.9995166,0.99968904,0.99891096,0.9998384,0.9996481,0.9994385,0.9998734,0.99938345,0.9998334,0.99960226,0.9998134,0.9979173,0.9974194,0.9979444,0.9998665,0.99872875,0.9992705,0.9998949,0.9967772,0.99849886,0.99939543,0.99936926,0.9986015,0.9996775,0.99841803,0.9989877,0.9977378,0.99857545
oop,0.9998171,0.999545,0.9977802,0.9997788,0.99848396,0.99995685,0.9998086,0.99938196,0.99928033,0.9998172,0.99952453,0.9997286,0.9998563,0.99907744,0.9999003,0.9999144,0.9997715,0.9998096,0.9999794,0.99982727,0.99530613,0.99857384,0.94520247,0.0,0.9908857,0.9945484,0.99479574,0.9996554,0.9996814,0.99993634,1.0,1.0,0.99996996,0.99054325,0.99815744,0.998727,0.9995212,0.99986595,0.99971706,0.9979411,0.999447,0.9982424,0.9998648,0.9943716,0.9975895,0.99198174,0.99965507,0.99970216,0.99921095,0.9995498,0.9994494,0.99979055,0.9995743,0.9998676,0.99994457,0.9997163,0.9998126,0.9997417,0.99919176,0.99957925,0.99979776,0.99977523,0.99987173,0.99922377,0.9988268,0.9994869,1.0,1.0,0.99978745,0.99981785,0.99811655,0.9966951,0.99845386,0.99943423,0.99679124,0.9997638,0.99921227,0.99935436,0.9997915,0.99997145,0.9993929,0.9997049,0.9999689,0.99952763,0.99824846,0.9968187,0.9996765,0.99832267,0.9994831,1.0,0.9993294,0.9997478,0.999884,1.0,0.99898285,0.9997992,0.9996338,0.9987407,0.9995599,0.99948466
architecture,0.99915093,0.9996614,0.9963856,0.99907804,0.999531,0.99971807,0.99807876,0.99654394,0.99749345,0.99951726,0.9996637,0.99969876,0.999915,0.99901146,0.9999011,0.99992555,0.9998965,0.9999387,0.99839,0.99993795,0.99822617,0.9987971,0.96687543,0.9908857,0.0,0.9941734,0.9992313,0.99923843,0.9996626,0.99895906,0.9998798,0.9986571,0.999701,0.99949,0.9990537,0.99881905,0.9987062,0.9998743,0.9997336,0.99889463,0.99556106,0.99814296,0.99964887,0.9989568,0.9994904,0.9992448,0.99983346,0.999927,0.999936,0.99955064,0.99812466,0.9998908,0.99749434,0.9996854,0.9998148,0.999831,0.9996564,0.9991301,0.9991312,0.99959105,0.9998375,0.9996902,0.9999917,0.99996394,0.9988227,0.9991579,1.0,0.99984074,0.99832934,0.9998645,0.99962014,0.99994016,0.999918,0.99972475,0.9996628,0.99991983,0.9998859,0.99964124,0.99955606,0.99867946,0.9998173,0.9995134,0.99959207,0.9947931,0.99895316,0.99965197,0.99980426,0.99691397,0.9996446,0.9994459,0.9963504,0.9980817,0.99873835,0.997705,0.99801636,0.99895626,0.9948246,0.9996066,0.99486476,0.99889
dependency-injection,0.9999925,0.9999854,0.9999289,0.99981123,0.9999778,1.0,0.9993247,0.9972988,0.99804366,1.0,0.99980605,0.99992245,1.0,0.99935764,1.0,1.0,0.99998516,0.999969,0.999752,0.9999372,0.99686503,0.9981029,0.98784685,0.9945484,0.9941734,0.0,0.996741,0.99991405,0.99994254,0.9997309,0.9997538,0.9997645,1.0,0.99921846,0.9994714,0.99950695,0.9989727,0.9996699,0.9999548,0.9993288,0.9957476,0.9998461,0.9997605,0.9979938,0.9998443,0.9998312,0.99991393,0.99992484,0.9997373,0.9999095,0.9991627,0.999721,0.9998285,1.0,0.999747,1.0,0.9992968,0.999794,0.9997614,0.99981284,0.99995875,0.99989533,1.0,0.9999517,0.9996546,0.99963355,0.99975747,1.0,0.9995023,0.9998284,0.9997098,0.999955,0.999938,0.9999396,0.99972814,0.9999925,0.99998826,0.99998367,1.0,0.999526,1.0,1.0,0.99941003,0.9967848,0.99237436,0.9983606,0.9999152,0.9997991,0.99975747,0.9997894,0.99423957,0.99453974,0.9960931,0.992261,0.9990891,0.99995923,0.99944717,0.99964046,0.9994278,0.9956145
generics,0.9999515,0.99987406,0.999818,0.99941504,0.9999847,0.9999671,0.9991711,0.9961937,0.99875784,0.99987715,0.9995231,0.9984379,0.9999878,0.9992192,0.99977636,0.99981546,0.9999619,0.9998856,0.99984884,0.9998152,0.9888718,0.9939213,0.99579024,0.99479574,0.9992313,0.996741,0.0,0.9999424,0.9996188,0.9997347,0.99996394,0.9999694,0.999632,0.9999769,0.99834484,0.9994616,0.9991312,0.99913424,0.99916637,0.9985252,0.9992483,0.99978197,0.9991475,0.9898853,0.99656594,0.99906313,0.9987427,0.9982615,0.9996629,0.9929843,0.9979343,0.9928395,0.99998087,0.99997264,0.9988992,0.99781364,0.9966259,0.9971114,0.99962753,0.9995992,0.9997759,0.9998007,0.9999544,0.9994484,0.9996541,0.9995559,0.9996224,0.99949217,0.9993281,0.9997045,0.9766368,0.9971119,0.98951614,0.99904126,0.9999769,0.99998295,0.99998516,0.9999551,0.9999793,0.9999619,1.0,0.99998087,0.99965715,0.9983766,0.9986125,0.96833277,0.9997865,0.9991568,0.99522185,0.99997497,0.9989789,0.9994537,0.9995731,0.99959415,0.9990945,0.9998056,0.99957085,0.9964543,0.9993896,0.9996335
dll,0.99971,0.9998855,0.99974906,0.99985766,0.9998315,0.999798,0.99981374,0.9996294,0.9997726,0.99940234,0.9997576,0.9998893,0.99875146,0.9982124,1.0,0.9999684,0.9997791,0.9999199,0.9990713,0.9989996,0.9945783,0.9984151,0.9997258,0.9996554,0.99923843,0.99991405,0.9999424,0.0,0.98068154,0.99017,0.9981303,0.99646723,0.9919033,0.99979275,0.9978527,0.999018,0.99829733,0.9996634,0.9998536,0.99945164,0.9996822,0.9992978,0.9989481,0.99921936,0.99516094,0.9883539,0.99641705,0.99121565,0.999902,0.99993384,0.99996257,0.99991345,0.9990209,0.9994374,0.9971819,0.99933815,0.9982449,0.9987834,0.9877397,0.9871265,0.9920156,0.9914196,0.99997604,0.99921566,0.99834466,0.99993277,0.9998861,0.99994236,0.9991532,0.99915445,0.9999613,0.99966055,0.999944,0.99995047,0.99993986,0.99996287,0.999995,0.9999608,0.9856999,0.9984947,0.9869756,0.9995424,0.99894345,0.9988306,0.99922085,0.99696803,0.9944973,0.9995069,0.99912286,0.9979176,0.9994712,0.9997324,0.9996243,0.999767,0.99809825,0.9998654,1.0,0.99956965,0.9989754,0.9987344
com,0.9999016,0.9999708,0.99997956,0.9996712,0.99999046,0.99993825,0.999936,0.99990654,0.9999599,0.99993455,0.9998558,0.9998362,0.9944165,0.9989796,1.0,1.0,0.9999249,0.99984163,0.99934614,0.9968124,0.9967345,0.99823177,0.9998887,0.9996814,0.9996626,0.99994254,0.9996188,0.98068154,0.0,0.9977982,0.9994216,0.99912345,0.9453533,0.9997191,0.997562,0.9990321,0.9992577,1.0,1.0,0.99721694,0.9999555,0.99979115,0.9996254,0.99983746,0.99679613,0.9946346,0.99660677,0.996263,0.9986925,0.9999817,1.0,0.999942,0.9993269,1.0,0.9998017,0.9986048,0.9982892,0.99841315,0.9963794,0.9971674,0.99654865,0.998282,0.99997485,0.99959826,0.9972854,0.9995393,0.9992296,0.99965173,0.9985614,0.9999297,0.9999,0.99972856,0.99991614,0.99998266,0.9998281,0.99993473,0.99999326,0.9999753,0.9921825,0.9975105,0.9892179,0.9999001,0.99892646,0.99879277,0.99951375,0.99849254,0.9980076,0.99954265,0.9990506,0.9978386,0.9999294,0.99995697,0.9999239,0.9997989,0.99944055,0.9999162,0.9999489,0.9995482,0.9994203,0.9995521
assemblies,0.9998252,0.9999701,0.9999781,0.9998884,0.9999935,0.9998583,0.99978644,0.9998942,0.99930346,0.9999635,0.9999373,0.99916065,0.9999684,0.99958956,1.0,1.0,0.99991715,0.99996054,0.9997182,0.99967873,0.99879855,0.999514,0.99990344,0.99993634,0.99895906,0.9997309,0.9997347,0.99017,0.9977982,0.0,0.99817264,0.9968441,0.99752027,0.9999972,0.9996145,1.0,0.99937123,0.99944526,1.0,0.999959,0.9998149,1.0,0.99918085,0.99998647,0.99943334,0.99996895,0.9905336,0.9977991,0.99987954,0.99987584,0.99986285,1.0,0.99923223,0.9998344,0.9981952,0.9984479,0.99752986,0.99816346,0.99748033,0.9984061,0.9973341,0.9991713,1.0,1.0,0.99994147,0.9999433,1.0,1.0,0.9984936,0.9994595,0.9999273,0.9999921,0.99997586,1.0,0.99999624,1.0,1.0,1.0,0.999834,0.99961746,0.99996084,1.0,0.9985813,0.9995781,0.9997868,0.98884016,0.9994725,0.99969697,0.99916303,0.9995826,0.9997291,0.99972636,0.9997888,0.9999267,0.9992792,0.99994326,1.0,0.99878365,0.9996924,0.9987075
msbuild,0.9997938,0.9999449,0.9999379,1.0,0.9999968,0.9998525,0.99993086,0.9996753,0.99978966,0.99994993,0.999503,0.99981916,0.99995613,0.9999214,1.0,1.0,1.0,1.0,0.996579,0.99662286,0.9986843,0.9992064,0.9999225,1.0,0.9998798,0.9997538,0.99996394,0.9981303,0.9994216,0.99817264,0.0,0.9913188,0.9996416,0.9999903,0.9998594,0.99993914,0.9996392,0.9996272,1.0,0.9998643,1.0,1.0,0.99986553,0.9999878,0.9994321,0.9994908,0.9996935,0.9993023,1.0,0.9998877,1.0,1.0,0.99992305,0.99978465,0.99784964,0.9988549,0.996049,0.99692863,0.98082304,0.9844125,0.9904912,0.9834482,0.9998562,0.999926,0.99993193,0.999956,1.0,0.9998065,0.9985716,0.9995971,0.99994695,1.0,0.99997854,1.0,0.99997896,0.99997985,1.0,0.9999917,0.99947226,0.9983751,0.9996081,1.0,0.9996015,0.9995813,0.9986012,0.9998074,0.9995527,0.99982727,0.998224,0.9984228,0.99908996,0.99933743,0.9993984,0.9995196,0.9988051,0.99995595,1.0,0.9999138,0.99970365,0.99838257
deployment,0.99876285,0.99965394,0.99822545,0.999895,0.9996828,0.999122,0.99958855,0.9992147,0.99968696,0.9994145,0.99977815,1.0,0.9997,0.9981594,1.0,1.0,0.9997727,0.9998588,0.98995817,0.9982537,0.9988064,0.9997861,0.9997727,1.0,0.9986571,0.9997645,0.9999694,0.99646723,0.99912345,0.9968441,0.9913188,0.0,0.9998142,0.9995305,0.9993117,0.9999533,0.9988295,0.999906,1.0,0.999971,0.99992394,0.99978644,0.9997482,0.99840796,0.9986229,0.99962956,0.99939054,0.99987847,1.0,0.9999315,0.9997973,1.0,0.99833715,0.9996808,0.99868006,0.99910885,0.99881226,0.9975676,0.9942235,0.9944021,0.99515647,0.9967212,0.9999756,1.0,0.9999363,0.99996394,0.99993557,1.0,0.9983194,0.9991633,0.99995804,0.99999267,0.99990296,0.9999244,0.9998634,0.9999229,0.9999683,0.9999442,0.9973915,0.99798805,0.9998596,0.99993163,0.9986671,0.9978919,0.9995105,0.999767,0.9987789,0.9995387,0.9998982,0.9919432,0.9975788,0.99812746,0.9982856,0.9994096,0.9974071,0.99963886,0.9995576,0.99996454,0.99819857,0.9948129
interop,0.99993736,0.99996287,0.9999679,0.9998149,0.9999871,1.0,0.99991083,0.9999593,1.0,0.99998236,0.99986786,1.0,0.9926046,0.99860597,0.9998644,0.9999532,0.9999035,0.9999632,0.99982715,0.99985045,0.9970054,0.99873245,0.999867,0.99996996,0.999701,1.0,0.999632,0.9919033,0.9453533,0.99752027,0.9996416,0.9998142,0.0,0.99997354,0.9988081,0.9998482,0.9985483,0.99997085,0.99988276,0.9991603,1.0,0.99988204,0.9996556,0.99971735,0.9978737,0.99849904,0.9956976,0.98077875,0.99861825,0.99990034,1.0,0.9999221,0.99974805,0.9997996,0.9977572,0.9977942,0.9987474,0.99830955,0.99909234,0.99915123,0.9989019,0.9994909,0.9999913,0.99978137,0.9995012,0.999846,0.99986273,1.0,0.9994852,0.9997921,0.9998076,0.99980503,0.9999307,0.999991,0.999959,0.99999493,1.0,0.9999915,0.99898857,0.999277,0.9962232,0.9998597,0.9992625,0.99815494,0.9999135,0.99942887,0.9995707,0.99968886,0.99754,0.99953,0.9999633,0.99995244,0.99997145,1.0,0.9996325,0.999743,0.99991363,0.9996992,0.9991972,0.99992573
php,0.99658364,0.97085273,0.9826445,0.9999986,0.85916865,0.9995188,1.0,0.99990255,0.99999726,0.99851847,0.9859627,0.9999555,0.9977581,0.9999624,0.9999876,0.9998032,0.99142706,0.99528897,0.9995268,0.9998874,0.9987286,0.99997413,0.9984808,0.99054325,0.99949,0.99921846,0.9999769,0.99979275,0.9997191,0.9999972,0.9999903,0.9995305,0.99997354,0.0,0.998921,0.9994373,0.9999852,0.9999906,0.99993676,0.9994459,0.9999918,0.9996533,0.99996674,0.99710095,0.99963653,0.99920166,0.9999972,1.0,0.9998695,0.99997896,0.9999986,0.99990875,0.9928525,0.99702877,0.9999681,1.0,0.9999931,0.9999903,0.9999087,0.99993676,0.9999808,0.9999809,0.97716886,0.9912897,0.9994207,0.9995916,0.9999791,0.9999986,0.9999515,0.9999387,0.99977136,0.9595876,0.99923265,0.97917295,0.96028507,0.9510577,0.9604709,0.9627201,0.9974641,0.99997777,0.9999648,0.9981673,0.9999958,0.99978673,0.99824303,0.9995864,0.9985603,0.99631804,0.99999726,0.9984648,0.9998474,0.9999708,0.9999839,0.99999034,0.99869287,0.99520993,0.9969177,0.9988446,0.9962905,0.9991941
exception,0.99920636,0.9991897,0.99868804,0.9992877,0.9993554,0.999577,0.99957883,0.99876356,0.998278,0.9980365,0.99876755,0.9995615,0.9991498,0.99723583,0.9990629,0.99971545,0.9992696,0.9993924,0.9992575,0.9988179,0.99502355,0.9991855,0.9987187,0.99815744,0.9990537,0.9994714,0.99834484,0.9978527,0.997562,0.9996145,0.9998594,0.9993117,0.9988081,0.998921,0.0,0.9263462,0.9974136,0.9984472,0.9992425,0.99887264,0.9997736,0.9992572,0.9994116,0.99249935,0.9971621,0.99518293,0.9986552,0.9989012,0.9993435,0.9987982,0.9986042,0.9992693,0.99867815,0.9989521,0.9991426,0.9994077,0.99887174,0.99914014,0.997514,0.99777067,0.9982955,0.9981126,0.99960667,0.99836683,0.9950615,0.998393,0.99877787,0.99909663,0.9982818,0.9984255,0.9984162,0.99834824,0.998413,0.9987729,0.9996604,0.9999295,0.99984705,0.9996207,0.9983967,0.9990354,0.99878955,0.99668324,0.9993766,0.9954661,0.99718314,0.99749446,0.99259055,0.99905396,0.9990235,0.9991148,0.9987625,0.99917364,0.9994068,0.9996032,0.99795836,0.99787307,0.99863327,0.9963891,0.9970219,0.9987955
exception-handling,0.9994809,0.99969757,0.9997465,0.9975056,0.9997844,0.9997169,0.9998179,0.998711,0.99937916,0.99914396,0.99973893,0.9996174,0.99978685,0.9979228,0.9997502,0.9998123,0.9998517,0.9997842,0.9994717,0.9990309,0.99720937,0.99882233,0.9982001,0.998727,0.99881905,0.99950695,0.9994616,0.999018,0.9990321,1.0,0.99993914,0.9999533,0.9998482,0.9994373,0.9263462,0.0,0.9988811,0.9996714,0.9993725,0.99961877,0.99948525,0.9996425,0.9995853,0.9974179,0.9982656,0.99781865,0.99864256,0.9991094,0.9996755,0.9990975,0.99912345,0.9994474,0.9997804,0.9998811,0.9994369,0.9993115,0.9984911,0.99871004,0.9989093,0.9992347,0.99905694,0.9994104,0.9999584,0.9998675,0.99740976,0.99769163,0.994795,0.99740237,0.99884367,0.9992492,0.9998082,0.99978274,0.99979407,0.9996208,0.99984807,0.99999,0.9999228,0.999657,0.99934405,0.998728,0.9992949,0.9992662,0.99941885,0.9957646,0.99829507,0.9990336,0.9974063,0.99938214,0.9989195,0.99958146,0.9988164,0.9986245,0.99927926,0.9987457,0.99877954,0.9989474,0.9988736,0.99932545,0.99849695,0.999733
wpf,0.9987638,0.9991105,0.99869746,0.9993329,0.9996883,0.9995518,0.99901235,0.9938776,0.9992934,0.9998277,0.99711734,0.99965674,0.9990324,0.9901256,0.9987317,0.99624807,0.99159056,0.9990433,0.99967605,0.9995037,0.9370607,0.99143374,0.9981809,0.9995212,0.9987062,0.9989727,0.9991312,0.99829733,0.9992577,0.99937123,0.9996392,0.9988295,0.9985483,0.9999852,0.9974136,0.9988811,0.0,0.8397277,0.9474222,0.99110186,0.9090803,0.9929323,0.97838175,0.99993944,0.98991185,0.9995581,0.9998014,0.99942356,0.9995493,0.9969083,0.99847895,0.9996729,0.9993993,0.9997196,0.9998284,0.99997014,0.9923798,0.99617535,0.99470687,0.99225116,0.99793994,0.99585634,0.9996891,0.9991736,0.99060607,0.9978224,0.99850976,0.9989424,0.9799886,0.9964951,0.99793714,0.99956375,0.9983754,0.99973166,0.999872,0.9996782,0.99996495,0.99996686,0.9953269,0.9996148,0.99821174,0.9996456,0.9999901,0.9951466,0.9987103,0.9991399,0.9988741,0.9959866,0.9992418,0.99977887,0.9995567,0.99991924,0.9999148,0.9999088,0.99889034,0.9999208,0.99975175,0.99877197,0.99922943,0.9996841
xaml,0.9998897,0.99993235,0.9999165,0.99994624,0.9999554,0.9999575,0.99989367,0.99932414,0.9999574,0.99998796,0.9985971,0.99973685,0.9999672,0.9992616,0.9995867,0.99545884,0.9966698,0.9996265,0.99963653,0.99973655,0.9782821,0.99647003,0.9997753,0.99986595,0.9998743,0.9996699,0.99913424,0.9996634,1.0,0.99944526,0.9996272,0.999906,0.99997085,0.9999906,0.9984472,0.9996714,0.8397277,0.0,0.9546067,0.99717957,0.9560899,0.99705637,0.98486024,0.9999881,0.9965359,0.9998014,0.9998178,0.99982667,0.99989057,0.9991506,0.99976647,0.9999745,0.99990344,0.99993527,0.99983835,1.0,0.99612993,0.9980173,0.99553967,0.9957544,0.9984607,0.9933133,0.99992925,0.99970233,0.99947184,0.9994112,0.99994063,0.99955183,0.9473848,0.9636666,0.99911815,0.99987066,0.9993396,0.9997157,0.99994826,0.9998453,0.9999887,0.99997216,0.99644023,0.9999723,0.9998698,0.9999839,0.99993974,0.99944985,0.99985266,0.9997039,0.9995412,0.9992469,0.99936485,1.0,0.9999261,1.0,0.9999674,1.0,0.99980676,0.9999128,0.9999182,0.99904984,0.9997966,0.9998996
data-binding,0.99955416,0.9996622,0.9990823,0.9972366,0.9998497,0.99979377,0.9991644,0.996728,0.99898785,0.99989367,0.9985385,0.999587,0.999798,0.9845396,0.983412,0.9864551,0.99918616,0.9992009,1.0,0.99991643,0.99302083,0.99764585,0.9992426,0.99971706,0.9997336,0.9999548,0.99916637,0.9998536,1.0,1.0,1.0,1.0,0.99988276,0.99993676,0.9992425,0.9993725,0.9474222,0.9546067,0.0,0.99815893,0.96456707,0.99893045,0.9881109,0.9996792,0.99559695,0.9999316,0.9999362,0.99982727,0.99994814,0.99790585,0.996705,0.999818,0.9999109,0.99989694,0.9998993,0.99877346,0.99834156,0.9973629,0.99937415,0.99900764,0.99922186,0.9994498,0.9999839,0.99978137,0.99923074,0.999266,0.99993914,0.9995686,0.9793569,0.9905457,0.9964713,0.99965054,0.99873996,0.9993243,0.9994047,0.99974686,0.9997266,0.99972296,0.9997984,1.0,0.9999452,1.0,0.9993092,0.99908626,0.9996805,0.99898654,0.9995435,0.9993099,0.999854,0.9999693,0.9989657,0.9992769,0.9995241,0.9999188,0.9941789,0.9999651,0.99979484,0.9994155,0.999646,0.9998673
events,0.99990416,0.99979824,0.99961483,0.99993134,0.9994671,0.999936,0.9999322,0.9998368,0.9993816,0.9998533,0.99974203,0.99980855,0.99890804,0.9889584,0.99669266,0.99775285,0.99875605,0.9996921,0.9999035,0.99893373,0.99366486,0.9987602,0.9975968,0.9979411,0.99889463,0.9993288,0.9985252,0.99945164,0.99721694,0.999959,0.9998643,0.999971,0.9991603,0.9994459,0.99887264,0.99961877,0.99110186,0.99717957,0.99815893,0.0,0.9960251,0.9956921,0.99327326,0.9983923,0.99486464,0.9986368,0.99951684,0.9985658,0.9984163,0.99985397,0.9999712,0.99845684,0.99985194,1.0,0.99917287,0.9994323,0.99881065,0.99909973,0.9990073,0.9990089,0.99927866,0.99949855,0.99991745,0.99982303,0.9945596,0.99585557,0.9998437,0.99960613,0.99593586,0.99865294,0.9990258,0.999727,0.99920404,0.99972886,0.9941733,0.998311,0.99392,0.9981742,0.99773043,0.99939257,0.9977845,0.9992767,0.9996014,0.99901235,0.9988288,0.99773437,0.99913526,0.9989849,0.99888855,0.9997843,0.9996934,0.9995857,0.99992496,0.9999408,0.99676996,0.9998941,0.9997171,0.9995294,0.9997107,0.9998741
